"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"       viper.silicon.supporters.BuiltinDomainsContributor.translateAxiom (viper.silver.ast.DomainAxiom, viper.silver.ast.DomainType)","24’448 B (0.2%)","382 (0.2%)","4’850 (0.4%)","636.9","68"
"        viper.silicon.supporters.BuiltinDomainsContributor.$anonfun$collectAxioms$2 (viper.silicon.supporters.BuiltinDomainsContributor, scala.Tuple2, viper.silver.ast.DomainAxiom)","24’448 B (0.2%)","382 (0.2%)","4’850 (0.4%)","636.9","68"
"         viper.silicon.supporters.BuiltinDomainsContributor.$anonfun$collectAxioms$2$adapted (viper.silicon.supporters.BuiltinDomainsContributor, scala.Tuple2, viper.silver.ast.DomainAxiom)","24’448 B (0.2%)","382 (0.2%)","4’850 (0.4%)","636.9","68"
"          viper.silicon.supporters.BuiltinDomainsContributor$$Lambda$1841.1763937709.apply (Object)","24’448 B (0.2%)","382 (0.2%)","4’850 (0.4%)","636.9","68"
"       viper.silicon.supporters.DefaultDomainsContributor.$anonfun$collectDomainMembers$4 (viper.silicon.supporters.DefaultDomainsContributor, viper.silver.ast.DomainAxiom)","12’224 B (0.1%)","191 (0.1%)","4’705 (0.4%)","170.6","31"
"        viper.silicon.supporters.DefaultDomainsContributor.$anonfun$collectDomainMembers$4$adapted (viper.silicon.supporters.DefaultDomainsContributor, viper.silver.ast.DomainAxiom)","12’224 B (0.1%)","191 (0.1%)","4’705 (0.4%)","170.6","31"
"     viper.silicon.rules.evaluator$.$anonfun$eval2$57 (viper.silicon.verifier.Verifier, viper.silicon.state.terms.Quantifier, String, scala.Function3, viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.Tuple2, viper.silicon.verifier.Verifier)","22’976 B (0.2%)","359 (0.2%)","7’104 (0.7%)","299.9","76"
"      viper.silicon.rules.evaluator$$$Lambda$1961.93719202.apply (Object, Object, Object, Object, Object, Object, Object)","22’976 B (0.2%)","359 (0.2%)","7’104 (0.7%)","299.9","76"
"       viper.silicon.rules.evaluator$.$anonfun$evalQuantified$10 (viper.silicon.state.State, scala.Function7, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.Tuple6)","22’976 B (0.2%)","359 (0.2%)","7’104 (0.7%)","299.9","76"
"        viper.silicon.rules.evaluator$$$Lambda$1896.50222403.apply (Object)","22’976 B (0.2%)","359 (0.2%)","7’104 (0.7%)","299.9","76"
"         viper.silicon.rules.executionFlowController$.$anonfun$locallyWithResult$3 (scala.Function1, Object)","22’976 B (0.2%)","359 (0.2%)","7’104 (0.7%)","299.9","76"
"          viper.silicon.rules.executionFlowController$$$Lambda$1506.1391046666.apply ()","22’976 B (0.2%)","359 (0.2%)","7’104 (0.7%)","299.9","76"
"     viper.silicon.state.terms.Forall$.apply (viper.silicon.state.terms.Var, viper.silicon.state.terms.Term, viper.silicon.state.terms.Trigger, String)","384 B (0%)","6 (0%)","111 (0%)","658.3","3"
"      viper.silicon.rules.stateConsolidator$.$anonfun$assumeUpperPermissionBoundForQPFields$3 (scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, viper.silicon.state.terms.Var, viper.silicon.state.State, scala.Tuple2)","384 B (0%)","6 (0%)","111 (0%)","658.3","3"
"       viper.silicon.rules.stateConsolidator$$$Lambda$1648.1900772594.apply (Object, Object)","384 B (0%)","6 (0%)","111 (0%)","658.3","3"
"        scala.collection.IterableOnceOps.foldLeft (Object, scala.Function2)","384 B (0%)","6 (0%)","111 (0%)","658.3","3"
"         scala.collection.IterableOnceOps.foldLeft$ (scala.collection.IterableOnceOps, Object, scala.Function2)","384 B (0%)","6 (0%)","111 (0%)","658.3","3"
"          scala.collection.AbstractIterable.foldLeft (Object, scala.Function2)","384 B (0%)","6 (0%)","111 (0%)","658.3","3"
"    <Unknown>","71’616 B (0.7%)","1’119 (0.5%)","8’315 (0.8%)","706.6","76"
"    viper.silicon.decider.LayeredPathConditionStackLike.$anonfun$quantified$1 (scala.runtime.ObjectRef, scala.runtime.ObjectRef, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.decider.PathConditionStackLayer)","66’048 B (0.6%)","1’032 (0.5%)","9’626 (0.9%)","342.5","104"
"     viper.silicon.decider.LayeredPathConditionStackLike.$anonfun$quantified$1$adapted (scala.runtime.ObjectRef, scala.runtime.ObjectRef, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.decider.PathConditionStackLayer)","66’048 B (0.6%)","1’032 (0.5%)","9’626 (0.9%)","342.5","104"
"      viper.silicon.decider.LayeredPathConditionStackLike$$Lambda$1989.831526277.apply (Object)","66’048 B (0.6%)","1’032 (0.5%)","9’626 (0.9%)","342.5","104"
"       scala.collection.immutable.List.foreach (scala.Function1)","66’048 B (0.6%)","1’032 (0.5%)","9’626 (0.9%)","342.5","104"
"        viper.silicon.decider.LayeredPathConditionStackLike.quantified (scala.collection.immutable.Seq, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.state.terms.Term)","66’048 B (0.6%)","1’032 (0.5%)","9’626 (0.9%)","342.5","104"
"         viper.silicon.decider.LayeredPathConditionStackLike.quantified$ (viper.silicon.decider.LayeredPathConditionStackLike, scala.collection.immutable.Seq, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.state.terms.Term)","66’048 B (0.6%)","1’032 (0.5%)","9’626 (0.9%)","342.5","104"
"          viper.silicon.decider.DefaultRecordedPathConditions.quantified (scala.collection.immutable.Seq, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.state.terms.Term)","66’048 B (0.6%)","1’032 (0.5%)","9’626 (0.9%)","342.5","104"
"    viper.silicon.state.terms.Quantification.copy (viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, viper.silicon.state.terms.Term, scala.collection.immutable.Seq, String, boolean)","34’560 B (0.3%)","540 (0.2%)","4’753 (0.4%)","536.7","71"
"     viper.silicon.supporters.BuiltinDomainsContributor$$anonfun$1.applyOrElse (viper.silicon.state.terms.Term, scala.Function1)","32’512 B (0.3%)","508 (0.2%)","4’275 (0.4%)","518.3","60"
"      viper.silicon.supporters.BuiltinDomainsContributor$$anonfun$1.applyOrElse (Object, scala.Function1)","32’512 B (0.3%)","508 (0.2%)","4’275 (0.4%)","518.3","60"
"       viper.silicon.state.utils.package$.transform (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","32’512 B (0.3%)","508 (0.2%)","4’275 (0.4%)","518.3","60"
"        viper.silicon.state.terms.Term.transform (scala.PartialFunction, scala.Function1, scala.PartialFunction)","32’512 B (0.3%)","508 (0.2%)","4’275 (0.4%)","518.3","60"
"         viper.silicon.state.terms.Term.transform$ (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","32’512 B (0.3%)","508 (0.2%)","4’275 (0.4%)","518.3","60"
"          viper.silicon.state.terms.Quantification.transform (scala.PartialFunction, scala.Function1, scala.PartialFunction)","32’512 B (0.3%)","508 (0.2%)","4’275 (0.4%)","518.3","60"
"     viper.silicon.rules.quantifiedChunkSupporter$.$anonfun$produce$4 (scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.state.terms.Quantification)","1’984 B (0%)","31 (0%)","452 (0%)","836.3","10"
"      viper.silicon.rules.quantifiedChunkSupporter$$$Lambda$2045.1685116823.apply (Object)","1’984 B (0%)","31 (0%)","452 (0%)","836.3","10"
"       scala.collection.immutable.Vector1.map (scala.Function1)","1’984 B (0%)","31 (0%)","452 (0%)","836.3","10"
"        scala.collection.immutable.Vector1.map (scala.Function1)","1’984 B (0%)","31 (0%)","452 (0%)","836.3","10"
