Var,62641,1,1,1,0,0.013844226647412,0.013844226647412
FullPerm,6213,1,1,1,0,0.001373129103309,0.001373129103309
IntLiteral,8108,1,1,1,0,0.001791941215134,0.001791941215134
FractionPermLiteral,734,1,1,1,0,0.00016222062801,0.00016222062801
NoPerm,5601,1,1,1,0,0.001237871576957,0.001237871576957
SeqNil,4,1,1,1,0,8.84036119947789E-07,8.84036119947789E-07
SetCardinality,12,3,3,3,0,2.65210835984337E-06,7.9563250795301E-06
SetSubset,98,3,3,3,0,2.16588849387208E-05,6.49766548161625E-05
MultisetCount,3,3,3,3,0,6.63027089960842E-07,1.98908126988253E-06
MultisetSubset,24,3,3,3,0,5.30421671968673E-06,1.59126501590602E-05
Mod,61,3,3,3,0,1.34815508292038E-05,4.04446524876113E-05
PermLookup,135,3,3,3,0,2.98362190482379E-05,8.95086571447136E-05
IsReadPermVar,62317,3,3,3,0,0.013772619721697,0.04131785916509
Times,39,3,5,3.4358974,0.810029087368545,8.61935216949094E-06,2.96152097088383E-05
First,5840,2,26,3.5164382,2.45817483509564,0.001290692735124,0.004538641238252
PermLess,17257,3,31,3.5708988,1.91556119828132,0.003813952830485,0.013619239585635
SeqIn,143,3,12,3.965035,2.67705145988836,3.16042912881334E-05,0.000125312121108
SeqAt,381,3,12,3.9816272,1.45525892529735,8.42044404250269E-05,0.000335270690357
PermIntDiv,2,4,4,4,0,4.42018059973895E-07,1.76807223989558E-06
FractionPerm,7,4,4,4,0,1.54706320990863E-06,6.18825283963452E-06
Second,12938,2,26,4.06392,2.65347405284144,0.002859414829971,0.011620433115816
SeqLength,943,2,30,4.0911984,2.61940996689646,0.000208411515278,0.000852652857846
Lookup,1166,3,11,4.1200686,1.87956502234773,0.000257696528965,0.001061727377317
SetIn,514,3,9,4.1245136,0.850761631931237,0.000113598641413,0.000468539141451
AtLeast,3250,3,13,4.1723075,2.28369187605231,0.000718279347458,0.002996882308492
Less,72829,3,30,4.2515616,2.71984744667954,0.016095866644919,0.06843256854626
SeqSingleton,3,2,6,4.6666665,1.88561802696833,6.63027089960842E-07,3.09412630931275E-06
Combine,61,3,17,4.852459,3.77148955871763,1.34815508292038E-05,6.54186726551273E-05
PermAtMost,135521,3,27,4.856812,3.46836053534831,0.029951364752861,0.145468147748073
Not,265074,2,96,5.0721197,2.76921520931812,0.05858374761476,0.297143780376652
AtMost,198910,3,53,5.2514253,2.08653507888233,0.043960906154704,0.230857414791737
FieldTrigger,30170,3,21,5.3764005,1.84329702987701,0.006667842434706,0.035848991399876
App,118734,1,113,5.5986996,6.82408906216209,0.02624128616647,0.146917078363702
Greater,699,3,15,5.7854075,3.4245976455364,0.000154485311961,0.000893760482458
SeqDrop,15,3,13,5.8,2.94844596792844,3.31513544980421E-06,1.92277856088644E-05
Minus,76,3,45,6.2236843,9.04316912237513,1.6796686279008E-05,0.000104537272687
PredicateLookup,4,3,10,6.25,3.26917420765551,8.84036119947789E-07,5.52522574967368E-06
SortWrapper,3614,3,23,6.5395684,3.36711796735233,0.000798726634373,0.005223327458383
SeqTake,14,3,15,6.571429,3.24509044433007,3.09412641981726E-06,2.03328320848533E-05
Div,12,7,7,7,0,2.65210835984337E-06,1.85647585189036E-05
SeqAppend,22,3,16,7.2272725,4.65082433633504,4.86219865971284E-06,3.51404346628795E-05
PermPlus,107,3,25,7.4392524,5.23499715722999,2.36479662086034E-05,0.000175923189372
PermMinus,1093,3,53,8.818848,5.78354050909238,0.000241562869776,0.002130306230996
BuiltinEquals,1857827,3,378,9.652597,7.80125680237058,0.41059654315356,3.96332296065443
PredicateTrigger,49,6,10,9.714286,0.968904298369139,1.08294424693604E-05,0.000105200301368
Plus,760,3,47,9.717105,4.56389983140982,0.00016796686279,0.001632151642252
SeqUpdate,10,4,17,10.9,4.63573056419045,2.21009029986947E-06,2.40899842685772E-05
Ite,629,6,34,11.531002,4.19982235850727,0.000139014679862,0.001602978551516
Implies,117369,5,635,15.163365,25.0951546053809,0.025939608840538,0.393331756806305
CustomEquals,16389,3,195,15.219599,16.1328720867544,0.003622116992456,0.055127168156268
And,26265,3,407,15.451475,19.7414733250325,0.005804802172607,0.089692755649985
PermMin,205,4,29,15.770732,4.80255228374563,4.53068511473242E-05,0.000714522207208
Or,3066,7,95,18.806263,12.2772673150262,0.00067761368594,0.012743381190187
Iff,17,13,32,20.235294,6.3757760566622,3.7571535097781E-06,7.60271058734918E-05
Quantification,1486715,6,467,24.25522,18.5755803424441,0.328577440017044,7.96971809465021
Let,12,22,35,32.833332,4.84481406060752,2.65210835984337E-06,8.70775542787127E-05
,4524702,,,,,1,13.517146494514
,,,,,,,
,,,,,,,
,,,,,,,
Number of Tests,344,,,,,,
Equality Checks per Test,13153.2034883721,,,,,,
